faithfulness,answer_relevancy,context_precision,context_recall
0,1,0,1
0,1,0,1
0.9,0.8,0.7,0.6
1,1,1,1
0,0.6,0,0
1,1,0.2381,1
1,1,1,1
1,1,0,0
1,1,1,1
1,1,1,1
1,1,0.25,1
0,1,0,0
0.99999,1,0.9,0.99999
1,1,1,1
1,1,0.5,1
1,1,0.8,1
1,1,1,1
0,0,0,0
0.95,0.9,0.85,1
1,1,1,1
0.9,1,0.8,0.33333
0.99999,1,0.01493,1
0,1,0,1
1,1,0.30769,1
0.99999,0.99999,0.8,1
0,0,0,0
0.95,0.9,0.8,0
1,1,0.26923,1
1,1,1,1
1,1,1,1
1,1,1,1
0.99999,1,0.8,1
1,1,1,1
1,1,0.28571,1
0,1,0,0
1,1,0.91667,1
1,1,1,1
1,1,0.27273,1
1,1,0.12346,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.92857,1
1,1,0.16667,1
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.10526,1
1,1,1,1
1,1,0.25,1
1,1,1,1
0.9,1,0.9,1
1,1,1,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,0.23684,1
0.95,1,0.75,0.5
1,1,1,1
0,0,0,0.25
1,1,1,1
0,0,0,0
0.3,0.6,0.3,0
1,1,0.83333,1
1,1,1,1
1,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.27273,1
1,1,1,1
1,1,1,1
1,1,0.11111,1
1,1,1,1
1,1,1,1
1,1,0.13793,1
1,1,1,1
1,1,1,1
1,1,0.92857,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.9,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,0.28571,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.2,1
1,1,1,1
1,1,0.26923,1
1,1,0.95,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
1,1,1,1
0.99999,0.99999,0,0
1,1,1,1
1,1,0.36364,1
1,1,0.13793,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0,0
1,1,1,1
1,1,1,1
1,1,0.95,1
0,1,0.25,1
1,1,1,1
1,1,1,1
0.8,0.9,0.8,0.8
1,1,0.82143,1
1,1,1,1
1,1,1,1
0,0,0.08333,0
0.95,1,0.2381,0.5
0.95,1,0.33333,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.7,1
1,1,0.4,1
1,1,0.25,1
0.99999,1,0.28571,1
1,1,0.92308,1
1,1,1,1
1,1,1,1
0.95,1,0.9,1
1,1,1,1
1,1,1,1
0.9999,1,0.99989,0.99988
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.9,1,0.7,0.5
0.95,0.9,0.25,0
1,1,1,1
1,1,0.34043,1
1,1,0.0303,1
0.99,1,0.8,0.5
1,1,1,1
1,1,0.5,1
1,1,1,1
1,1,1,1
0.99999,1,0.22222,1
0.99999,1,0.2,1
1,1,0.11765,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,1,1,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.15385,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,0.8,1
1,1,1,1
1,1,0.83333,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.8,1
1,1,0.29167,1
1,1,1,1
1,1,1,1
1,1,1,1
0.99999,0.99999,0.3,1
1,1,0.4,1
1,1,1,1
0.5,0.5,0.33333,1
1,1,1,1
1,1,1,1
1,1,0.2,1
1,1,0.76923,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,0.75,0.75
0.95,0.95,0.8,0
0.99999,1,0.9,1
1,1,1,1
0.9,1,0.7,0.8
1,1,1,1
1,1,0.45833,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,0.9,1
1,1,0.28571,1
1,1,0.29412,1
1,1,1,1
1,1,0.11429,1
1,1,1,1
0,0,0,0
0.95,1,0.8,1
1,1,0.25,1
0.99,1,0.5,1
1,1,1,1
1,1,0.23077,1
1,1,0.83333,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
0,1,0,0
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.27273,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.8,1
0.95,1,0.9,1
0.95,0.9,0.85,0.75
1,1,1,1
1,1,1,1
1,1,0.23529,1
0,1,0,1
1,1,1,1
1,1,1,1
1,1,0.9,1
1,1,1,1
1,1,0.26316,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.99995,1,0.99995,1
1,1,1,1
0.75,0.2,0.2,1
1,1,0.23529,1
0.95,0.7,0.75,0.25
1,1,0.25,1
1,1,1,1
1,1,1,1
0.9999,1,0.8,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
0,0.8,0.2,0
0.95,1,0.25,1
1,1,0.07317,1
1,1,1,1
1,1,0.8,1
1,1,0.28571,1
1,1,1,1
1,1,0.27907,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.5,1
1,1,0.125,1
1,1,1,1
1,1,1,1
1,1,0.22222,1
1,1,0.25,1
,,,
0.95,0.9,0.8,0
0.3,0.3,0.7,0
1,1,1,1
1,1,0.22222,1
1,1,1,1
1,1,0.25,1
1,1,0.5,1
0.95,1,0.45,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.5,1
0.99,1,0.8,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,0.8,1
1,1,0.4,1
1,1,0.26087,1
1,1,0.25,1
0.5,0.6,0.3,0.4
1,1,1,1
1,1,1,1
1,1,0.11538,1
1,1,1,1
0.95,1,0.4,0.75
1,1,0.85714,1
1,1,0.33333,1
1,1,1,1
1,1,0.9,0.5
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.9,1
0.9,1,0.4,1
1,1,1,1
1,1,0.27273,1
1,1,0.26316,1
1,1,1,1
1,1,1,1
1,1,0.66667,1
1,1,1,1
0.9999,0.9999,0.5,0.9999
0.3,0.2,0.2,1
0,0.2,0,0
1,1,1,1
0.95,1,0.8,0.75
0,0,0,0
1,1,1,1
0.9999,1,0.1,1
1,1,1,1
1,1,1,1
0.99995,0.99995,0.75,0.99995
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.2,1
1,1,0.15385,1
0.9,1,0.75,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
0,0,0,0
1,1,0.5,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.9,1,0.1,0
1,1,1,1
1,1,0.21739,1
1,1,0.18391,1
1,1,0.22727,1
1,1,1,1
1,1,0.55556,1
0.95,1,0.85,1
0.99,1,0,0
1,1,0.125,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,0.25,1
0,0,0,0
1,1,0.9,1
0.9,0.8,0.3,0.4
0,0,0,0
0.9999,0.9999,0.33333,0
1,1,0.25,1
1,1,0.8,0.9
0,0.7,0,0
1,1,0.2,1
0.95,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.25,1
1,1,1,1
1,1,1,1
1,1,0.25,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.2,1
1,1,1,1
1,1,0.10526,1
1,1,0.22222,1
1,1,1,1
1,1,0.2,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.9,1
1,1,0.92308,1
1,1,1,1
0,0,0,0
0.95,1,0.6,0.75
1,1,1,0
1,1,1,1
1,1,1,1
1,1,0.125,1
0.99995,1,0.33333,1
1,1,1,1
1,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
0.95,1,0.8,0.75
1,1,1,1
1,1,0.83333,1
1,1,1,1
1,1,1,1
1,1,1,1
0.99995,1,0.4,1
0.99,1,1,1
1,1,0.85,0.25
1,1,1,1
0,0,0.16667,1
1,1,1,1
1,1,1,1
0,0,0,1
1,1,1,1
1,1,1,1
1,1,0.225,1
0.99995,0.99995,0.95,0.75
1,1,1,1
0,0,0,0
1,1,1,1
1,1,1,1
1,1,1,1
0.99999,0.99999,0.99999,1
1,1,0.42857,1
0.95,1,0.5,1
1,1,1,1
1,1,0.84615,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.9,0.9,0.8,0.25
1,1,1,1
1,1,1,1
0.99999,1,0.9,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0.5,1,0,1
1,1,0.5,1
1,1,1,1
1,1,0.20833,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,0.23077,1
1,1,1,1
1,1,1,1
0,0,0,0
0.99998,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
1,1,1,1
0,0,0,0
1,1,0.21053,1
1,1,1,1
0.95,1,0.9,1
1,1,0.19231,1
0.95,1,0.85,1
0.3,0.4,0.2,0
1,1,1,1
1,1,1,1
0.3,0,0.2,0.25
1,1,0.9,1
0.65,1,0.25,0
1,1,1,1
0.99,1,0.7,1
1,1,1,1
1,1,1,1
1,1,1,1
